hidden_neurons_layer1,hidden_neurons_layer2,train_loss,validation_loss,training_curve,validation_curve
128,32,0.03913224267307669,0.44909257,"[1.19009383 1.01798231 0.80943819 0.58128123 0.31531194 0.18549488
 0.15683674 0.15770078 0.13380514 0.11802349 0.11451581 0.1425985
 0.15721486 0.122278   0.11455252 0.10200986 0.09445876 0.08793702
 0.08407648 0.08057467 0.08154788 0.08804848 0.11497895 0.1535222
 0.09197872 0.08836141 0.08387562 0.08442969 0.07899917 0.0727709
 0.07129087 0.06997424 0.07055539 0.07360582 0.06656539 0.06689922
 0.0668934  0.07048469 0.08177802 0.11148113 0.12235846 0.06549242
 0.06185097 0.06110914 0.06285302 0.05731125 0.05542928 0.05413008
 0.05215699 0.05856236 0.05402392 0.05242306 0.04889763 0.05181153
 0.04627028 0.05053806 0.04888208 0.05507873 0.05004218 0.05770746
 0.05000833 0.05376603 0.04342269 0.04369586 0.04233101 0.04296782
 0.05303017 0.06951552 0.0641027  0.0502185  0.04780815 0.04399827
 0.04499402 0.03994781 0.04058909 0.03938667 0.03903121 0.04815112
 0.05035561 0.06422049 0.05166448 0.04241915 0.03931312 0.0366704
 0.0373296  0.03634856 0.03755624 0.0366262  0.04159666 0.04223631
 0.05062541 0.05046173 0.05838415 0.05896052 0.0532833  0.04472008
 0.04237817 0.0412798  0.03904772 0.03913224]","[1.06147623 0.96516945 0.96538627 0.89902781 0.67118992 0.58361125
 0.60211787 0.62060208 0.61400474 0.58324008 0.56040507 0.52006896
 0.58451632 0.53423272 0.54189736 0.56272326 0.55591952 0.54793003
 0.54877739 0.56495515 0.55505805 0.53385319 0.59114466 0.50371128
 0.57064501 0.53502119 0.53856748 0.48872279 0.54331118 0.4947697
 0.49277373 0.51050893 0.48909428 0.5033677  0.50885583 0.50822329
 0.50502893 0.50928191 0.49288835 0.55886255 0.40304098 0.43975373
 0.46415447 0.50002528 0.44868546 0.46191707 0.43456809 0.44721819
 0.46075179 0.4601783  0.45953117 0.48449737 0.49931206 0.46629415
 0.51056302 0.47171596 0.52030898 0.45758281 0.52873368 0.44901785
 0.54468517 0.46243637 0.53937178 0.49515944 0.47817497 0.52436785
 0.45718205 0.54098273 0.41872349 0.48205335 0.46001413 0.49266764
 0.44767756 0.48808405 0.49045796 0.47314394 0.48948987 0.46132798
 0.51302764 0.42120767 0.5430036  0.46919579 0.48506359 0.5153025
 0.49078154 0.51765969 0.47425844 0.52093489 0.46163484 0.54660786
 0.4512513  0.55079847 0.44074226 0.53995067 0.4312697  0.47184236
 0.46417423 0.44956467 0.45288062 0.44909254]"
256,64,0.03321466827765107,0.67607415,"[1.06720494 0.84241964 0.32190924 0.29274945 0.30319064 0.23360246
 0.15428713 0.14546019 0.12813169 0.11721355 0.10509089 0.10531756
 0.12826637 0.1445758  0.13621541 0.10240476 0.11033511 0.09928286
 0.09538871 0.08530475 0.0826317  0.08669716 0.09050917 0.10008142
 0.16345999 0.15111516 0.09598261 0.08287907 0.08840486 0.07852621
 0.07387306 0.07785338 0.08034825 0.07008636 0.07317972 0.07226544
 0.07623723 0.06906095 0.06330955 0.06233911 0.06249466 0.06614392
 0.07953819 0.07307279 0.05505125 0.05476743 0.05490202 0.06389292
 0.08053973 0.07761587 0.05439507 0.05453465 0.05549929 0.05542864
 0.04841679 0.04858697 0.0510843  0.05085977 0.06442066 0.08953197
 0.10755629 0.04943838 0.05139552 0.05872656 0.04711761 0.04414865
 0.04697704 0.04542115 0.0829475  0.07717913 0.06138404 0.05259369
 0.051626   0.04946565 0.04339507 0.04169055 0.04162194 0.04310921
 0.04243772 0.03885758 0.03734193 0.03888638 0.03933477 0.03963719
 0.04587664 0.07590469 0.09201689 0.08886355 0.04819163 0.05350877
 0.05602497 0.05017154 0.04376413 0.04213093 0.03953994 0.03858546
 0.03782121 0.03713453 0.03459505 0.03321467]","[0.9309245  0.8853427  0.54591516 0.53763429 0.59144298 0.59007134
 0.51073293 0.50339515 0.49993919 0.50361389 0.51303308 0.54263927
 0.4862123  0.60859056 0.48951996 0.50552812 0.51496482 0.47609129
 0.47519612 0.48193903 0.48402494 0.47458088 0.51130361 0.51243034
 0.60661996 0.46698176 0.48405523 0.49578194 0.51611911 0.42239082
 0.55972264 0.49445148 0.55899872 0.46405184 0.5695019  0.48124377
 0.52043001 0.56304527 0.66079817 0.58713528 0.65084656 0.57268488
 0.67201678 0.51036733 0.57471393 0.55434203 0.62885729 0.54219941
 0.67798156 0.50332771 0.61604562 0.55946708 0.66918845 0.56718739
 0.60810241 0.61766501 0.64271732 0.63247161 0.59258227 0.65672859
 0.51795617 0.61627846 0.64504345 0.64665382 0.63139606 0.62730103
 0.60585156 0.65039092 0.65513502 0.69885212 0.56206371 0.61793257
 0.62480423 0.66212956 0.64361566 0.64144574 0.62508319 0.65960258
 0.62821097 0.68653941 0.67153911 0.66018583 0.6734686  0.65189514
 0.72110919 0.60013463 0.71599855 0.54266943 0.64591309 0.61110853
 0.73294983 0.60796351 0.66838654 0.62913615 0.68978267 0.67303061
 0.70281154 0.67200964 0.70197127 0.67607411]"
256,128,0.0426918629091233,0.68289167,"[1.10099037 0.55880599 0.32010402 0.42351431 0.34914251 0.3772603
 0.21677605 0.33964904 0.35092711 0.19929594 0.1184944  0.10468439
 0.10269512 0.09947069 0.09897522 0.09996324 0.10205352 0.09914145
 0.09226854 0.1027524  0.15726202 0.15718833 0.10148613 0.08513057
 0.09200963 0.09168106 0.0908573  0.10191932 0.11478299 0.12147963
 0.09348125 0.11003299 0.08667892 0.07999815 0.07416787 0.07593367
 0.08037565 0.07089192 0.07826727 0.09349814 0.08496461 0.11656748
 0.07735346 0.06239473 0.05994088 0.07944567 0.09816961 0.11268647
 0.06013413 0.06298092 0.06074842 0.05455441 0.05171088 0.0543554
 0.05400438 0.06752806 0.09378646 0.11436425 0.06421529 0.06158353
 0.08365045 0.08637999 0.04878508 0.06085614 0.06364399 0.06276609
 0.04744471 0.05598121 0.06342073 0.06166632 0.04976247 0.06633786
 0.0607685  0.05888013 0.06145616 0.05737211 0.05416317 0.05732428
 0.05184753 0.08103864 0.06974912 0.07527145 0.04714738 0.04273809
 0.04014326 0.03750432 0.03553811 0.0336206  0.03208737 0.03038293
 0.02871376 0.06115703 0.06197068 0.05813983 0.06516518 0.07313886
 0.10655201 0.05214559 0.05009135 0.04269186]","[0.95165992 0.64894244 0.57708178 0.72582953 0.7289383  0.67963745
 0.59235378 0.61554437 0.53119888 0.50281426 0.49950197 0.47726827
 0.48507892 0.46861865 0.4527868  0.44552185 0.4396314  0.44591121
 0.53126127 0.50142705 0.57645395 0.46766126 0.45397251 0.49183489
 0.51496137 0.46151074 0.5086923  0.4542837  0.52283214 0.41680245
 0.53403769 0.4197657  0.58862965 0.48200561 0.58517119 0.54555015
 0.60615911 0.5530851  0.66290618 0.55699918 0.64371546 0.50328115
 0.48780611 0.45390572 0.55341752 0.56574603 0.7075442  0.56391724
 0.56917591 0.57320322 0.55305466 0.55867237 0.59707879 0.58535027
 0.64597214 0.57310419 0.6488893  0.49830821 0.58765569 0.5327997
 0.68567445 0.48779052 0.59861099 0.52665225 0.67143271 0.52372931
 0.6314356  0.55012743 0.70632444 0.52258585 0.64362922 0.55713504
 0.62610002 0.51011771 0.6671767  0.48218928 0.61698851 0.51834333
 0.63012435 0.54927551 0.72337668 0.51774733 0.63786723 0.57428728
 0.64410208 0.60166098 0.66822182 0.64048544 0.68700887 0.6462725
 0.74578101 0.72211145 0.59231795 0.58578545 0.57854911 0.66030046
 0.61394951 0.66945121 0.7384834  0.68289167]"
128,64,0.030305675347335637,0.7271141,"[1.00058876 0.78583    0.59572104 0.24006883 0.17802343 0.18989737
 0.12139075 0.12431737 0.12845787 0.16597873 0.16681923 0.15276752
 0.10721784 0.09479568 0.08929531 0.08949937 0.08427989 0.08380324
 0.08486138 0.09281751 0.12623519 0.17964812 0.08113759 0.08016985
 0.09545524 0.07957363 0.07468298 0.07378463 0.07287729 0.06544154
 0.06363938 0.05947558 0.06198585 0.06025738 0.0793517  0.1276475
 0.1107475  0.06783012 0.0599603  0.05936538 0.07108587 0.0821605
 0.09676247 0.05660116 0.05655496 0.05438919 0.05675652 0.05171991
 0.0492249  0.05029089 0.05395045 0.04583375 0.0446562  0.04440246
 0.05904752 0.07557622 0.09271858 0.04750027 0.0497797  0.04769414
 0.04484949 0.04131523 0.03936475 0.03976967 0.04213414 0.06771076
 0.12838424 0.05154262 0.05785191 0.05035656 0.05344155 0.04979083
 0.05468988 0.04177878 0.04276067 0.0399547  0.04757407 0.04640394
 0.0521468  0.03931329 0.0391877  0.0367298  0.0362513  0.03599237
 0.04565105 0.04298653 0.04425173 0.03191886 0.03097559 0.03055575
 0.04059299 0.03853512 0.04496225 0.0349391  0.03470138 0.02621833
 0.02857683 0.02536699 0.03076184 0.03030568]","[0.8787126  0.74188571 0.76580941 0.51440174 0.49541669 0.50571875
 0.53380319 0.57640358 0.54978649 0.50882031 0.56676489 0.50442914
 0.52942589 0.55214881 0.55663055 0.52289923 0.5663638  0.55708627
 0.5845808  0.54624963 0.63158677 0.5043622  0.55232194 0.52808356
 0.58706371 0.50732582 0.49800962 0.55552612 0.50470081 0.5619262
 0.55357636 0.58546518 0.57056796 0.61427727 0.56669082 0.67052121
 0.48124524 0.5312892  0.52361836 0.56717148 0.5371017  0.65758358
 0.50681512 0.5892259  0.57007594 0.59512421 0.54221507 0.66536964
 0.55013994 0.62719228 0.56611811 0.59361607 0.57591176 0.66022831
 0.54377618 0.67568225 0.51987411 0.57755012 0.59433348 0.56682945
 0.58902267 0.60289614 0.56490312 0.545947   0.55833296 0.59466905
 0.472814   0.59317352 0.47870838 0.59799892 0.49133362 0.61579571
 0.52092499 0.63122642 0.56569608 0.63308368 0.56674076 0.63561694
 0.60159531 0.66202731 0.58330779 0.68339206 0.62416688 0.67692097
 0.59667492 0.66214291 0.5881694  0.67205885 0.60253047 0.69120424
 0.60836392 0.71513465 0.58372122 0.69010757 0.60594386 0.6954903
 0.61656042 0.70380334 0.6345057  0.72711409]"
256,32,0.042226963327266276,0.8291538,"[1.02966639 0.79434926 0.40610123 0.21539643 0.16071561 0.17351493
 0.1341106  0.12775309 0.13438625 0.12733842 0.12226963 0.1222777
 0.1244576  0.11649688 0.09902468 0.09210412 0.08881244 0.08369081
 0.10916957 0.22164955 0.18905109 0.15823434 0.12895592 0.11308753
 0.09591641 0.09002605 0.08814486 0.08567104 0.08134736 0.08345547
 0.08301425 0.09057867 0.16901615 0.10562823 0.12118872 0.09135419
 0.08288771 0.07700603 0.08115566 0.10053111 0.08197855 0.08010076
 0.08285268 0.08295547 0.07162594 0.06689786 0.06403809 0.0647619
 0.06640445 0.07697785 0.11735876 0.15245634 0.06723233 0.09705185
 0.07417141 0.06307878 0.06056858 0.0658934  0.06914553 0.06861086
 0.0619658  0.06428606 0.05936028 0.06273958 0.05857112 0.05282548
 0.0525691  0.05043928 0.04737745 0.04468071 0.06325452 0.10917663
 0.08214829 0.07057416 0.05522727 0.05401527 0.05777295 0.06075049
 0.0502175  0.04784548 0.0458957  0.04527833 0.05013631 0.05087462
 0.0505721  0.04529524 0.04453522 0.04174688 0.04151838 0.03996514
 0.04007415 0.04229914 0.05064451 0.05062591 0.05894235 0.04357713
 0.04316613 0.04054431 0.04241923 0.04222696]","[0.92565165 0.81890151 0.73026079 0.57306349 0.55551041 0.58922747
 0.61983878 0.60076839 0.5669465  0.57149764 0.54809474 0.61459091
 0.57229137 0.64525152 0.58446786 0.6032359  0.62267279 0.62299494
 0.60021078 0.69447445 0.53626662 0.50851319 0.5177387  0.51156282
 0.49318593 0.51169708 0.57706787 0.53850384 0.58828037 0.63496859
 0.64019595 0.61227486 0.65877148 0.52293285 0.49842845 0.55485573
 0.53435468 0.55134982 0.51576217 0.65170528 0.45711964 0.46663874
 0.50743968 0.53474323 0.55712794 0.56320985 0.59193991 0.56017588
 0.58850563 0.54092102 0.59212996 0.43850476 0.50452076 0.51165501
 0.55268983 0.55840608 0.60601144 0.55048465 0.52988619 0.52471444
 0.5634817  0.53322625 0.58232274 0.51406017 0.57831596 0.57911146
 0.57267422 0.59787722 0.62345684 0.63993176 0.62062134 0.74912195
 0.56278563 0.71031423 0.68198369 0.690576   0.71097655 0.70166517
 0.66673207 0.68622759 0.67932904 0.71701798 0.66765886 0.73046598
 0.64720126 0.74287673 0.6908374  0.72966007 0.70877545 0.73175382
 0.69763746 0.74310552 0.69810391 0.77935533 0.6829016  0.7661069
 0.72964553 0.77860185 0.73811304 0.82915374]"
128,128,0.051686861901544034,0.866824,"[1.13514519 0.85103861 0.26965911 0.33987    0.37693281 0.32424754
 0.34197063 0.15761634 0.30054519 0.21833288 0.18186484 0.11405641
 0.10320482 0.10532086 0.10684981 0.10777306 0.10122312 0.09477691
 0.08997878 0.08723311 0.08457263 0.0828597  0.08480636 0.09375535
 0.087275   0.10733396 0.09833403 0.0948223  0.07217114 0.07195157
 0.08898531 0.13966587 0.09674692 0.10909937 0.10963754 0.08065365
 0.06524325 0.06776155 0.06526297 0.06762374 0.06639052 0.06713068
 0.06877228 0.06281307 0.06810781 0.070294   0.07344563 0.06083942
 0.06416968 0.06079841 0.06026967 0.05864159 0.07559969 0.07371135
 0.08422302 0.05593939 0.05524798 0.05803769 0.06588879 0.05457125
 0.08792293 0.05794949 0.05392868 0.05787312 0.04776785 0.04854077
 0.05016099 0.09586474 0.09829404 0.15019987 0.0550261  0.05436416
 0.07413497 0.06641864 0.04673709 0.04501614 0.04434144 0.0416567
 0.03991972 0.03895865 0.05176739 0.06010706 0.06857449 0.05987741
 0.06886633 0.06584435 0.07425488 0.0598156  0.07021798 0.0638768
 0.06925003 0.05457191 0.05329947 0.04830948 0.04835721 0.04764807
 0.05392066 0.06232783 0.07228575 0.05168686]","[1.03105175 0.95237166 0.53008976 0.50673191 0.66456745 0.69997477
 0.66783111 0.54196407 0.59923617 0.55824113 0.57329265 0.53282914
 0.50319466 0.53064485 0.5279506  0.52944759 0.54216606 0.53273276
 0.5451381  0.53885865 0.5484556  0.53214551 0.55547984 0.52300407
 0.55161905 0.45694382 0.60128791 0.46219306 0.57697787 0.51036253
 0.62534082 0.47691001 0.61585239 0.48863094 0.6256148  0.51873871
 0.46289224 0.49407125 0.48793777 0.56156297 0.51756283 0.58001079
 0.51742831 0.56504208 0.52365259 0.57269982 0.47497977 0.55394719
 0.48551827 0.6218167  0.59866129 0.71514834 0.64239111 0.82166904
 0.56607102 0.68406419 0.61420081 0.74275889 0.62828742 0.71507387
 0.62079553 0.7360664  0.69184919 0.6915387  0.71364976 0.72469881
 0.74046904 0.66090337 0.77089977 0.65374514 0.7177836  0.70277755
 0.80394837 0.70727227 0.74392495 0.7774693  0.77428511 0.80977651
 0.79704292 0.822668   0.77226723 0.82929705 0.70357094 0.75012078
 0.72241578 0.83728139 0.73552787 0.82933625 0.73845694 0.88671801
 0.75053344 0.8799975  0.78962833 0.86209214 0.79416037 0.87304823
 0.80087184 0.90692012 0.78654798 0.866824  ]"
