current_price,market_cap,total_volume,BTC_price,BTC_market_caps,BTC_total_volumes,ETH_price,ETH_market_caps,ETH_total_volumes,LTC_price,LTC_market_caps,LTC_total_volumes,XRP_price,XRP_market_caps,XRP_total_volumes
0.1492797540071934,89225646.32796325,49894770.972569935,35171.486304850056,660200427590.4775,31024153846.87852,2279.354161419647,265951575833.03497,29046221905.50341,144.40196945117387,9639134229.668385,2678677095.1950464,0.6996532766642078,32268800761.051617,3241276897.32878
0.1376114539433202,81680850.42133754,29153303.42418841,33677.566235922626,629863895571.7473,29129630236.14075,2121.657900633364,247210647940.18707,25874247678.48856,138.13808637459368,9221651540.863,2324474732.135488,0.6638724587724228,30647057119.673344,2684814772.462972
0.1232242152625894,73179744.49199855,35470208.1398681,33950.786555181,633684390025.5607,25084046353.169456,2157.880584866453,250754468066.2188,22869223901.008,137.5266046447976,9099994524.142696,2196980065.360166,0.6546725767914099,30215830565.461456,2075137068.984085
0.1263231467509163,74947217.03739111,25553997.13947794,34729.89077801021,650382046624.6503,22986053604.70427,2228.532398568573,259079167729.78625,19954299562.69908,140.31079503828755,9366084351.379349,1749053218.2810442,0.6747676923040596,31138455875.2886,1807223370.983808
0.1329490669014722,79024819.33652134,23277068.257191204,35394.213074080915,663571591568.1959,22727930417.748825,2329.004750998825,271472550895.4458,21119209512.99698,145.48302674896732,9711343306.500273,2204653837.441421,0.6968995104043215,32159771283.85795,1664617403.3035553
0.1258140574397943,86525445.48768069,19353152.512033027,33928.13421837147,636061920914.8282,25894820184.74507,2217.3018530598792,258719784082.81683,22592756940.415127,138.41518025406407,9239547487.541368,2328315717.0710187,0.6590399913108745,30453863819.504448,1948795190.1724856
0.1230216817745447,85427742.24531896,16837181.979516502,34149.98981477412,640405812761.686,26106856611.92326,2320.6549288317,270697947572.19247,24748897613.709663,138.5634001637092,9249441524.38943,2270600383.003129,0.6662899993882386,30723093719.801144,1937393189.3106945
0.1043334459872261,78535435.48888467,36211960.04402271,33932.25463831538,636246944189.2604,23692220470.135063,2317.23694270242,270116728160.1227,23352988376.91004,137.75683223258153,9195601167.515974,2180673630.324603,0.6530460312591974,30147793682.4668,1618780258.2645764
0.0872368863516318,68644295.902879,36227402.95508669,32933.578199292395,617861633771.9894,29065577052.29722,2126.4424673902267,248124573571.6789,24133566100.864506,132.18260318024963,8825310242.238207,2162045718.3734846,0.6247610645746885,28843574198.216454,2049499074.2725823
0.0912418234300764,73125686.99196209,39513986.67582417,33971.29774975796,637000370375.4657,24282108111.21572,2156.5809569525845,251611015863.3228,22262234450.01033,135.1155296389191,9013459284.3449,1902363514.351356,0.6424991973732445,29681644971.035645,2350318273.957575
0.0866416709615612,69553277.58764715,14306469.412167378,33704.53847440508,632185737683.1548,20558304483.59407,2123.0585974934124,247860822594.064,18091111748.440804,134.31769277878757,8966030305.120094,1457367366.7628796,0.6287264607906748,29048791926.90512,1673959405.818035
0.0915326934607974,73427793.6951185,26951930.94131917,34299.938016517444,643335853171.1349,17798828844.27227,2144.0142572722566,250027222000.6045,14249909363.131063,134.2031777449341,8957040569.707262,1381852594.8126454,0.6385084267793238,29486316673.96478,1337323439.0925708
0.0842482108567974,67650374.93133658,21025000.65789692,33262.6543524462,623350567666.981,21683885320.611263,2042.4991866143628,238086643137.17004,16403901753.797194,133.8237508866662,8925932988.91042,1935700636.277134,0.6336448787059497,29247980265.76016,1674043993.3039484
0.0719829474606493,58725473.97333557,21637625.84048301,32676.38380096018,613002045101.37,19932531699.624603,1944.3950166372083,227135827760.92883,18210922217.703205,131.23261821822342,8763316594.18586,1585020196.351934,0.6199605865682292,28670030241.537884,1552901484.8336897
0.0586451274055959,51193999.44329069,36272604.32539334,32878.50187357147,616691143979.958,21779069066.445965,1997.6633136705989,232939479730.00745,20007437042.5854,131.21232187326024,8758739299.210312,1628767329.733012,0.6227052156887538,28779372130.819828,1930227964.4947248
0.0636207801573824,56670789.09774658,44367859.09366069,31726.038833909817,595342431373.8641,21557729227.284348,1910.7269516309964,223534356736.75903,17978198759.76909,125.52687357315456,8403184173.191431,1508867863.978678,0.5967255195676217,27694734252.60773,1583678938.398368
0.0841132018129407,74799631.78913204,77597976.84983887,31399.653128682126,588495008675.5178,22671859962.66356,1874.2002496808184,218477848474.5608,17448403933.724445,121.24810733694063,8118858100.698688,1388188363.4048202,0.5913725404424245,27201988882.770893,1488773939.655788
0.0829931041610024,74215567.66773738,49951316.66911783,31588.6713510167,592581931071.2119,17715455994.789402,1899.8427500663568,221838551362.95905,14920352990.216908,120.19122490490288,8023054465.964244,1317135278.5400891,0.5852641997905791,27109511265.747284,1604653849.4093466
0.0652678257764068,58486854.1070653,35448845.67002107,31919.393922554555,597872278369.1111,17742105807.895496,1905.723382843169,222305469349.286,15355055465.803198,119.979081636741,7984291728.186319,1299478363.4498324,0.5897955823329759,27175846391.033463,1167325757.066883
0.0643372322128881,58379042.00671051,21338846.517285287,30928.211908849244,580252472382.7122,20095540828.29569,1824.929392091902,214106247241.3399,15768554506.425838,113.66858658774689,7634541204.182109,1318897963.8550138,0.5601383605955838,26075532617.71391,1389516652.8589418
0.0579959611689422,53059216.72517171,19448319.00605031,29971.903783612062,561743228116.5483,23000299061.896305,1794.973425186835,209392844466.0158,20634025154.91444,107.82353395941789,7197481233.373025,1594709249.62383,0.5323514543433043,24615569713.49713,1679476183.743073
