Total Transaction,CSPR Txn,Total NFTs Minted
953,648,5934
938,695,5935
801,652,5935
509,356,5935
523,360,5935
673,507,5936
721,531,5939
701,508,5942
610,394,5944
689,432,5947
599,417,5947
771,580,5947
542,377,5948
577,421,5951
555,395,5953
761,619,5954
700,552,5954
815,638,5954
873,705,5954
1052,792,5954
815,612,5956
742,560,5956
836,645,5957
798,620,5957
579,428,5957
578,416,5957
634,484,5957
762,588,5959
716,542,5959
602,449,5959
634,463,5960
591,460,5960
530,399,5960
474,338,5960
616,465,5960
564,407,5960
1407,1017,5960
1150,881,5960
879,673,5960
818,604,5961
681,496,5963
787,612,5963
697,484,5963
879,661,5963
651,475,5984
1003,749,5984
2715,2097,5984
2708,2134,5986
1352,983,5993
1039,768,5994
895,683,5999
1023,772,6009
693,501,6009
742,561,6009
809,590,6011
890,562,6011
1334,1032,6011
992,692,6011
1376,1062,6020
1382,967,6047
1172,873,6061
1131,786,6075
709,494,6079
1191,779,6081
909,632,6087
1021,634,6138
955,639,6141
716,484,6145
825,644,6145
1675,1083,6455
3486,1671,7772
3072,1331,9084
2903,1616,9939
2450,1763,10112
5635,4772,10123
5060,3213,11047
2732,1894,11364
1987,1389,11343
2058,1538,11360
1504,1115,11367
1257,908,11370
1250,959,11372
1336,1029,11378
1375,1043,11385
1159,838,11391
1423,1139,11397
1255,910,11404
938,738,11405
1049,813,11406
999,703,11408
1239,971,11409
1562,1243,11415
1452,980,11423
974,607,11424
828,584,11432
997,764,11435
928,667,11435
728,520,11446
962,775,11451
847,601,11491
587,424,11495
561,427,11497
726,523,11511
761,549,11514
903,671,11520
897,672,11523
724,503,11529
1138,774,11546
953,654,11550
617,427,11550
1079,818,11551
1066,788,11554
961,684,11555
831,635,11556
709,495,11557
445,299,11557
485,338,11558
717,489,11561
749,501,11561
776,574,11563
859,588,11619
767,569,11632
613,442,11632
545,390,11637
635,438,11642
610,445,11647
663,485,11649
662,490,11658
1191,913,11663
873,637,11669
773,571,11671
988,728,11672
863,601,11673
828,594,11676
917,663,11678
945,692,11682
1088,772,11682
794,577,11686
869,635,11697
1308,924,11704
1352,972,11707
1056,776,11709
1090,797,11712
1309,865,11756
1172,693,11869
922,687,11875
967,615,11990
1081,757,11996
1032,716,11999
1042,741,12007
775,521,12010
1016,656,12023
909,673,12029
873,611,12031
1269,863,12076
1146,781,12134
847,603,12139
1052,782,12147
1195,892,12148
1112,760,12165
1342,956,12168
1173,878,12176
1095,771,12183
1295,912,12189
974,640,12197
947,624,12243
884,633,12262
894,632,12269
919,614,12284
975,725,12286
903,597,12326
780,532,12332
884,608,12376
732,548,12378
1365,1124,12381
888,671,12385
817,584,12389
878,650,12394
860,554,12464
905,506,12602
785,552,12611
1024,777,12624
1065,807,12636
1024,710,12665
1342,1004,12667
1002,724,12668
738,499,12671
754,505,12687
881,614,12688
957,670,12716
1157,868,12732
1517,1161,12806
1299,888,12812
922,664,12813
943,690,12813
906,657,12857
797,574,12860
802,586,12916
992,721,12936
744,548,12940
813,569,12953
848,613,12969
1079,833,12981
843,617,12987
853,614,12989
1310,972,12999
984,679,12999
912,635,13168
938,676,13171
1234,928,13177
1155,861,13183
1086,749,13217
1176,890,13218
1014,734,13229
946,698,13239
978,662,13240
1092,778,13255
1394,1021,13260
2168,1610,13262
1597,1124,13272
1573,1248,13275
1117,761,13313
1446,975,14849
1198,809,14872
1846,1054,15654
1390,769,15919
1503,996,15951
1878,1290,15970
2943,2065,15990
2241,1613,16010
1800,1310,16015
1742,1225,16029
1403,998,16046
1373,1020,16051
1266,947,16059
1223,859,16077
1059,742,16081
1604,991,16172
1967,1145,16175
2276,1596,16189
1483,998,18606
1292,845,18615
1751,1180,18620
1773,1251,18621
1543,1068,18632
1233,870,18638
1170,766,18717
1294,931,18743
1054,732,18776
1121,778,18786
1556,975,19003
1610,1281,19009
1201,839,19023
903,580,19027
955,631,19027
981,600,19027
868,551,19029
951,620,19030
871,545,19032
1017,688,19034
1041,688,19035
981,649,19037
915,639,19052
1030,736,19092
1164,863,19099
1078,729,19105
2960,1264,19991
2457,1156,20481
1610,952,20615
1091,678,20621
1134,626,20696
1378,798,20782
1291,816,20812
1277,821,20850
1547,1060,20924
