staked_amount_delegators,staked_amount_validators
4980064930.515243,96306641.8401703
4994747761.660837,96499968.4795718
5001894641.352741,96731675.29215716
5001469921.439315,96960560.29504696
4989777122.011414,97188472.05820286
5081493165.095304,97157141.54461184
5051413451.22689,96193109.49911796
5026265562.345257,96412709.16092531
5043865422.926764,94280285.22852246
5201657385.782951,94497958.42007872
5204772523.581161,94230384.98479249
5207587229.332212,94458984.91679904
5197494573.855082,94681605.39451268
5184443082.511266,94904255.9408512
5138581350.436904,95104980.8130844
5057690569.6752615,95308343.84534322
4979933175.536853,69112615.1286937
4983632937.516144,69312211.06650034
4988721510.707755,69483147.12287244
5141829190.392207,68312080.78837797
5162517487.278365,68281959.95273988
5166442165.090776,68459694.18425904
5041621889.55033,68628843.64936706
4785905911.765824,68830767.57202475
4788143867.56747,69015101.8454981
4792246384.493274,69194208.85361026
4798563975.728548,69387773.47056882
4799273092.374167,69586217.93130879
4752204389.135161,69451836.72291136
4756353473.68799,69646102.67126708
4741266025.402698,69536331.75243111
4714438774.978625,69738265.21537107
4728355891.59412,69926219.68989213
4710221890.541885,69975739.80596542
4718512864.127327,70174320.87474719
4733445518.104184,70372817.68905105
4744630746.284979,70574317.114036
4754174502.345101,70760103.76824252
4763925016.914491,70911658.10061821
4769799188.9828005,71111154.3712551
4774411712.104222,71310937.51763262
4780156111.677352,71552995.94464393
4450088865.193986,60741057.25875384
4457188717.32285,62091619.201921925
4742215834.336155,70461626.08355539
4736038312.92116,70684227.54715647
4733203497.37372,70905600.27537216
4730568475.082381,71042518.48896687
4729296192.930067,71594876.95001641
4737638425.699274,71303892.399609
4757611439.527335,71954730.22065201
4695002977.607127,72118060.82084094
4651557077.765676,72305942.68711191
4655604564.52451,72455661.76604787
4658155617.940709,72643116.73386554
4652115418.067554,72830391.96953265
4654518664.765345,73018284.02756277
4614009817.563835,73198463.63971967
4588525570.683252,73391622.62187627
4590341527.518115,73513356.18882114
4592052906.481268,73706357.9114097
4585997566.050176,73899407.59921741
4559511714.5696,73085918.82071422
4458368347.508923,73279261.28932229
4490771322.638656,73472445.80683395
4491348882.871606,74669137.91383313
4489378681.746853,74707385.70518686
4493872373.987571,74899483.2580015
4500189785.26307,75092213.84680046
4502602132.819349,75285192.97474852
4505943841.165324,75477454.93931083
4508060603.874829,75600889.63223621
4505683549.436717,75794104.4492783
4507451870.553508,75886839.24151194
4508434806.724919,76067518.4549397
4510206145.067524,76254940.6346078
4511080933.195507,75436212.30929427
4511742451.918004,76625135.02896588
4507500661.183311,76428580.74452053
4509671986.07792,76580912.58460619
4512408476.128402,76776967.87489128
4510147756.280112,77332051.48734675
4514007513.256031,77218256.3269715
4480507532.760256,77418390.29767862
4488250884.634876,77579020.58973007
4504150146.79737,77754820.14446911
4543803419.695277,77710125.00790021
4549558404.1016,77913363.72894855
4552413239.147581,78118725.9110196
4557482016.058695,78305904.38262154
4508580751.699104,78134779.24177836
4532605512.047384,78334571.49859567
4533612425.033488,78341547.06563248
4533605384.171995,78544598.3388312
4536576820.704832,78747504.78114614
4543251051.168536,78899982.6252601
4541897048.976417,78964622.65121429
4529641550.500113,79173074.04143973
4447972641.562851,79360502.14230435
4458001404.727186,82047685.40671709
4478626489.630228,81119586.92256215
4481360327.990221,81303445.05662574
4484915295.139065,81484441.45501132
4485573829.68181,81665312.5071208
4517897047.9902725,82213620.6379985
4505997587.415425,81939521.8538204
4529263796.754367,81854602.05687675
4581208364.197127,82129637.94672787
4576660978.022954,82303304.82625774
4576131987.774897,82378697.6590484
4577432329.967711,82543688.12331676
4582548277.02566,81535989.53889462
4586502572.752986,81306643.72149286
4580175999.898187,81491940.79624493
4580816914.799633,81857880.81332545
4591475547.189514,82148075.63930689
4612399343.25071,82323956.99117513
4602189044.697482,82307460.81276634
4568119863.504254,82478328.86138254
4578517561.652341,82540016.61554272
4581908575.228844,82708896.76485433
4647236018.508757,71224625.00238073
4668593041.939067,71396117.39292464
4669565402.456007,66539441.64131998
4672259237.654329,64318668.087616034
4673910656.966963,64489439.10617336
4676016475.912789,64536325.23970275
4676195583.290279,64717940.11332056
4677350694.246324,64866161.327562585
4675628781.558843,64932926.645042345
4676259765.244069,65093604.26282354
4680419270.244941,65266697.63564813
4679227223.97281,65437631.51586719
4679910998.82283,65607405.25745063
4684043086.173115,65882649.682535216
4655763391.22015,65319321.18854224
4659303960.43275,65490451.37093264
4663114348.020715,65663535.86530995
4664680224.708391,65472994.29994357
4667960116.79349,64796442.8275961
4684745786.694658,64746764.40415448
4640019112.96664,60638275.55036202
4638344407.187326,58277986.34091404
4642793390.336127,58448718.165684745
4680497574.682353,63396604.75009428
4681109138.262674,61011128.10360552
4688389956.0638485,63717048.3425794
4706725839.488575,64201001.268489055
4693399089.2651,64071165.59999484
4689877413.425484,64554536.129319385
4692959786.195926,64714384.3442258
4696439138.948266,64886448.04586406
4700189121.644701,64952106.94890861
4701900515.275179,65091534.12505506
4701738840.584519,65326290.6782404
4700527285.925509,65502657.84450726
4698914172.865498,65679021.13581628
4702068976.203089,65854934.97279976
4704877554.481305,66028165.766257375
4704379687.087345,66204111.012614265
4703564031.8868265,66369032.091214746
4702129212.077702,66490037.68244887
4696190260.270978,66664892.39499144
4691319936.881277,66837807.64920849
4693663526.013085,66217624.83759965
4698377748.099071,66389481.76094235
4696758688.150943,66561782.62918651
4697760082.198463,66733641.28851932
4675829751.523598,68086343.45038797
4625568373.990438,68236119.3527067
4629432282.777014,67968400.24491352
4631066321.806448,67826035.51987892
4632699892.2698965,68001109.5792062
4636963084.804532,68186515.25020158
4638708285.403025,68353761.46554983
4636479618.918216,68533930.10000008
4642995738.753648,68710788.21837123
4648600192.692032,68839424.94304569
4654291639.598927,69019323.37261292
4659916959.688066,69197294.40371662
4680392140.270252,69351212.41208905
4706884751.570323,68962761.40832756
4714108500.005713,69115638.48884451
4718563221.751706,69306491.43109253
4722099276.913837,69421789.50981906
4722271462.410061,69148984.92513731
4717847161.9119005,67840861.77291204
4702801221.021371,67949399.5198145
4702542582.803348,68126042.88339491
4699687215.005332,68285313.10403033
4697724919.350241,68020450.1803722
4677411247.158105,67507514.96324325
4664793106.547039,68366112.18337488
4621418456.495664,67844348.63104022
4616607653.462892,68018610.4123228
4621707421.721182,68193979.7753288
4626065892.112922,68367028.36263628
4628313297.910554,68515055.39211428
4629435697.796788,68704315.82254808
4631272982.158982,68881486.22260338
4624365073.524575,69404497.11122149
4627213883.014414,68258884.02594115
4711283263.894563,65537837.8541262
4733630611.692984,65715623.1919973
4726983869.3116665,65870546.81703341
4730624028.485463,66039493.34546039
4732382459.27222,66218639.87145485
4734846584.150489,66395136.42489711
4730324010.864896,66490455.997761056
4735215285.421213,65774812.47549956
4735012264.709543,65953722.987838246
4742850311.098903,66548734.92270582
4726360222.382596,54772884.43706596
4727808698.548117,54945948.363907024
4734118061.109626,59618189.10282042
4739659940.002218,62376395.20910804
4744297618.3173895,62593375.02199104
4769488849.77906,62698422.16213002
4799167068.147606,62865146.04239959
4800600889.257601,59128473.48216178
4799963998.764069,59298032.73613075
4798479871.351087,59458031.09599023
4864443631.957148,62180982.626103655
4897963297.412205,63737730.62321177
4922230159.233911,64026940.58758849
4926961478.212935,64181913.33032791
4941301500.130683,64359924.54683558
4947680053.022775,64520854.7442163
4967442019.071862,64742781.16497729
4970142394.416193,60958995.53041045
4971456148.661033,61139673.92647986
4969597779.093198,58056139.76093709
