Daily New Addresses,Daily Active Addresses,Total Distinct Address,Total Delegators,Total Validators
117,613,60794,15384.0,114.0
187,663,60981,15124.0,97.0
191,488,61172,15348.0,101.0
162,445,61334,15430.0,103.0
158,422,61492,15436.0,100.0
160,438,61652,15437.0,101.0
162,534,61814,15454.0,102.0
143,414,61957,15454.0,101.0
164,608,62121,15467.0,100.0
140,621,62261,15461.0,101.0
155,557,62416,15454.0,100.0
129,406,62545,15446.0,100.0
125,402,62670,15477.0,101.0
108,425,62778,15486.0,101.0
125,412,62903,15506.0,101.0
119,361,63022,15521.0,101.0
101,479,63123,15542.0,101.0
93,337,63216,15550.0,101.0
85,265,63301,15561.0,100.0
102,308,63403,15600.0,101.0
97,332,63500,15626.0,101.0
96,308,63596,15647.0,100.0
81,279,63677,15663.0,101.0
80,269,63757,15681.0,101.0
101,356,63858,15689.0,100.0
86,290,63944,15716.0,101.0
147,383,64091,15732.0,100.0
146,379,64237,15740.0,102.0
127,354,64364,15742.0,101.0
217,341,64581,15740.0,101.0
111,350,64692,15732.0,101.0
77,282,64769,15717.0,100.0
106,280,64875,15709.0,100.0
151,321,65026,15708.0,100.0
118,327,65144,15710.0,100.0
137,310,65281,15717.0,100.0
151,357,65432,15730.0,101.0
149,440,65581,15734.0,101.0
161,437,65742,15745.0,100.0
116,356,65858,15763.0,101.0
126,412,65984,15772.0,101.0
145,447,66129,15783.0,100.0
173,427,66302,15798.0,100.0
132,499,66434,15811.0,102.0
115,352,66549,15807.0,101.0
86,282,66635,15828.0,100.0
110,278,66745,15845.0,101.0
117,380,66862,15858.0,103.0
102,390,66964,15860.0,103.0
113,365,67077,15841.0,102.0
86,303,67163,15852.0,103.0
127,337,67290,15859.0,101.0
76,340,67366,15873.0,103.0
86,404,67452,15850.0,101.0
83,372,67535,15747.0,100.0
102,561,67637,15828.0,103.0
118,427,67755,15830.0,100.0
96,354,67851,15845.0,100.0
93,326,67944,15870.0,100.0
102,300,68046,15887.0,100.0
137,362,68183,15898.0,102.0
128,332,68311,15891.0,101.0
82,303,68393,15916.0,101.0
104,325,68497,15970.0,101.0
116,344,68613,15984.0,101.0
511,1081,69124,16019.0,100.0
145,537,69269,15980.0,101.0
103,338,69372,15980.0,101.0
97,356,69469,15144.0,102.0
121,401,69590,15147.0,101.0
97,368,69687,15984.0,101.0
96,352,69783,16017.0,101.0
115,340,69898,16015.0,101.0
126,381,70024,16056.0,103.0
92,285,70116,16059.0,100.0
524,1439,70640,16166.0,101.0
213,706,70853,16222.0,100.0
168,545,71021,16259.0,101.0
185,597,71206,16292.0,102.0
259,799,71465,16312.0,101.0
183,574,71648,16312.0,100.0
182,477,71830,16361.0,101.0
119,407,71949,16407.0,113.0
137,388,72086,16059.0,103.0
93,369,72179,16371.0,101.0
94,292,72273,16394.0,105.0
96,423,72369,16398.0,102.0
136,389,72505,16419.0,102.0
121,395,72626,16452.0,102.0
106,402,72732,16506.0,104.0
189,340,72921,16519.0,101.0
85,374,73006,16521.0,100.0
74,268,73080,16544.0,101.0
75,242,73155,16549.0,101.0
87,447,73242,16563.0,100.0
92,346,73334,16575.0,100.0
78,318,73412,16598.0,101.0
135,329,73547,16615.0,101.0
74,298,73621,16624.0,100.0
130,337,73751,16645.0,100.0
72,279,73823,16663.0,101.0
63,207,73886,16661.0,100.0
52,216,73938,16663.0,100.0
72,294,74010,16673.0,101.0
52,293,74062,16671.0,100.0
68,294,74130,16672.0,100.0
129,814,74259,16694.0,101.0
83,555,74342,16708.0,101.0
67,432,74409,16708.0,100.0
65,392,74474,16717.0,100.0
98,426,74572,16719.0,100.0
97,502,74669,16741.0,101.0
100,431,74769,16772.0,101.0
89,365,74858,16784.0,101.0
81,311,74939,16794.0,100.0
80,330,75019,16811.0,100.0
75,330,75094,16820.0,100.0
87,428,75181,16833.0,103.0
65,391,75246,16832.0,100.0
88,529,75334,16829.0,101.0
93,512,75427,16824.0,101.0
80,406,75507,16819.0,100.0
63,278,75570,16825.0,100.0
39,204,75609,16836.0,100.0
60,245,75669,16840.0,100.0
75,285,75744,16853.0,101.0
71,259,75815,16869.0,100.0
52,184,75867,16880.0,101.0
36,195,75903,16942.0,116.0
43,197,75946,16808.0,106.0
51,189,75997,16807.0,100.0
51,330,76048,16814.0,101.0
58,209,76106,16815.0,100.0
47,220,76153,16846.0,103.0
63,314,76216,16845.0,101.0
40,231,76256,16860.0,102.0
91,509,76347,16873.0,103.0
39,222,76386,16873.0,101.0
60,379,76446,16892.0,101.0
66,457,76512,16904.0,101.0
49,484,76561,16923.0,101.0
40,300,76601,16933.0,100.0
46,233,76647,16937.0,100.0
30,184,76677,16944.0,100.0
55,275,76732,16951.0,100.0
70,313,76802,16953.0,100.0
43,309,76845,16961.0,100.0
69,308,76914,16962.0,100.0
54,297,76968,16982.0,100.0
52,263,77020,16983.0,100.0
46,238,77066,16988.0,100.0
55,328,77121,17003.0,100.0
64,412,77185,17004.0,100.0
171,389,77356,17004.0,100.0
70,396,77426,17029.0,101.0
73,377,77499,17041.0,100.0
65,376,77564,17053.0,101.0
50,344,77614,17064.0,100.0
37,315,77651,17070.0,100.0
57,325,77708,17076.0,100.0
49,4513,77757,17086.0,100.0
53,342,77810,17099.0,100.0
44,301,77854,17109.0,101.0
45,340,77899,17124.0,102.0
49,280,77948,17149.0,102.0
44,207,77992,17143.0,101.0
128,303,78120,17141.0,100.0
305,1127,78425,17143.0,100.0
319,746,78744,17158.0,101.0
126,505,78870,17184.0,100.0
144,374,79014,17214.0,100.0
163,363,79177,17253.0,101.0
112,292,79289,17281.0,100.0
94,277,79383,17303.0,100.0
92,251,79475,17331.0,100.0
70,293,79545,17353.0,100.0
80,272,79625,17377.0,100.0
63,260,79688,17397.0,102.0
68,215,79756,17410.0,100.0
58,189,79814,17422.0,101.0
61,194,79875,17436.0,100.0
73,209,79948,17449.0,100.0
56,205,80004,17504.0,101.0
95,293,80099,17521.0,101.0
84,282,80183,17538.0,101.0
102,279,80285,17561.0,100.0
73,278,80358,17591.0,100.0
73,265,80431,17615.0,102.0
71,310,80502,17222.0,100.0
71,297,80573,17244.0,100.0
49,219,80622,17262.0,100.0
53,229,80675,17664.0,101.0
68,197,80743,17683.0,100.0
76,204,80819,17698.0,100.0
60,229,80879,17720.0,101.0
57,229,80936,17728.0,101.0
55,216,80991,17738.0,100.0
108,777,81099,17752.0,100.0
82,555,81181,17764.0,100.0
61,340,81242,17776.0,100.0
69,277,81311,17793.0,100.0
62,324,81373,17801.0,100.0
54,281,81427,17821.0,100.0
71,270,81498,17844.0,101.0
48,241,81546,17838.0,101.0
78,263,81624,17854.0,100.0
51,235,81675,17878.0,102.0
67,239,81742,17894.0,100.0
64,278,81806,17911.0,102.0
76,378,81882,17915.0,100.0
74,310,81956,17919.0,100.0
78,309,82034,17928.0,100.0
77,268,82111,17942.0,100.0
56,202,82167,17949.0,101.0
76,254,82243,17972.0,100.0
66,273,82309,17991.0,101.0
58,253,82367,17994.0,100.0
54,248,82421,17991.0,100.0
93,291,82514,18004.0,100.0
94,402,82608,18028.0,100.0
43,278,82651,18038.0,100.0
56,216,82707,18052.0,101.0
57,247,82764,18065.0,101.0
95,512,82859,18071.0,101.0
44,251,82903,18082.0,103.0
43,216,82946,18108.0,121.0
42,235,82988,17851.0,93.0
40,211,83028,17899.0,94.0
170,764,83198,17921.0,95.0
108,586,83306,17948.0,97.0
78,412,83384,17968.0,99.0
63,362,83447,17989.0,100.0
54,341,83501,18013.0,99.0
61,291,83562,18021.0,99.0
34,236,83596,18018.0,100.0
56,227,83652,18034.0,99.0
65,303,83717,18051.0,99.0
60,290,83777,18071.0,100.0
63,265,83840,18085.0,100.0
66,287,83906,18100.0,100.0
74,282,83980,18125.0,101.0
57,258,84037,18135.0,100.0
86,302,84123,18162.0,100.0
54,243,84177,18178.0,101.0
64,254,84241,18191.0,100.0
71,236,84312,18206.0,100.0
72,297,84384,18217.0,100.0
72,271,84456,18238.0,100.0
66,253,84522,18258.0,102.0
78,272,84600,18266.0,100.0
77,348,84677,18288.0,100.0
86,321,84763,18327.0,101.0
61,309,84824,18348.0,102.0
81,323,84905,18354.0,100.0
85,290,84990,18379.0,100.0
62,229,85052,18393.0,100.0
78,257,85130,18419.0,100.0
53,260,85183,18419.0,100.0
64,285,85247,18436.0,100.0
68,296,85315,18464.0,101.0
62,239,85377,18473.0,100.0
72,264,85449,18477.0,100.0
63,226,85512,18498.0,101.0
47,218,85559,18522.0,101.0
60,203,85619,18525.0,100.0
66,238,85685,18537.0,100.0
71,238,85756,18555.0,100.0
117,427,85873,18594.0,100.0
150,452,86023,18603.0,102.0
129,368,86152,18617.0,100.0
115,322,86267,18654.0,100.0
80,285,86347,18678.0,100.0
80,375,86427,18698.0,100.0
73,291,86500,18726.0,101.0
86,320,86586,18745.0,101.0
68,262,86654,18748.0,100.0
82,360,86736,18762.0,102.0
242,837,86978,18652.0,101.0
315,969,87293,18643.0,101.0
193,535,87486,18638.0,101.0
135,421,87621,18668.0,100.0
117,352,87738,18688.0,100.0
119,387,87857,18696.0,100.0
83,300,87940,18705.0,100.0
96,290,88036,18729.0,101.0
92,314,88128,18750.0,101.0
88,325,88216,18759.0,100.0
116,582,88332,18775.0,100.0
80,352,88412,18784.0,100.0
147,458,88559,18817.0,101.0
116,424,88675,18837.0,100.0
126,416,88801,18872.0,101.0
100,380,88901,18886.0,100.0
72,316,88973,18922.0,101.0
178,357,89151,18945.0,100.0
102,323,89253,18965.0,100.0
103,361,89356,18980.0,100.0
81,320,89437,19012.0,101.0
89,316,89526,19024.0,100.0
106,311,89632,19046.0,100.0
135,410,89767,19071.0,100.0
242,637,90009,19119.0,101.0
253,554,90262,19154.0,101.0
394,578,90656,19253.0,101.0
474,651,91130,19386.0,100.0
1547,1409,92677,19632.0,102.0
883,1130,93560,19888.0,101.0
432,722,93992,20063.0,101.0
257,558,94249,20163.0,101.0
293,612,94542,20269.0,100.0
208,477,94750,20357.0,102.0
174,424,94924,20421.0,101.0
160,390,95084,20487.0,100.0
149,395,95233,20523.0,100.0
141,401,95374,20569.0,100.0
125,367,95499,20650.0,112.0
