number,market,TI,NFT,mse,rmse,mae,mape
1,0,0,1,0.04395455935712051,0.2096534267717094,0.12820256999892904,0.05691866756580593
3,0,1,1,0.13760083909766868,0.3709458708459614,0.3202364049714948,0.137283653554433
5,1,0,1,0.2295277121984269,0.4790905052267545,0.3666736175341335,0.17372298245233608
7,1,1,1,0.2742427372216366,0.5236819046154226,0.41461412750388404,0.19476637017963158
