number,market,TI,NFT,mse,rmse,mae,mape
1,0,0,1,1.4315898395055329,1.196490634942678,1.065189863344261,0.16857206808143857
3,0,1,1,1.1624085409177616,1.078150518674346,0.791583066893213,0.11298886082796915
5,1,0,1,1.286846302792014,1.1343924818121875,0.9447629942434493,0.15146076316680254
7,1,1,1,1.1632670439461132,1.078548582098235,0.9317308374499471,0.1424228014342034
