number,market,TI,NFT,mse,rmse,mae,mape
1,0,0,1,0.015612791302306464,0.12495115566615006,0.1075395454919426,0.10836289496306176
3,0,1,1,0.03382274715765759,0.1839096168166787,0.13082031700776608,0.12745160464587887
5,1,0,1,0.10777443596394432,0.3282901703736259,0.2768773771667318,0.2892343501133006
7,1,1,1,0.07291911754934045,0.2700354005484104,0.22596481355621584,0.2351990171248114
