number,market,TI,NFT,mse,rmse,mae,mape
1,0,0,1,2.479897065103605,1.5747688926009444,1.2162521818920087,0.06387693333552982
3,0,1,1,8.127965764089462,2.8509587447189517,2.3533030439922134,0.12473880624975897
5,1,0,1,16.943437017826653,4.116240641389501,3.8328648354598664,0.1847804857207703
7,1,1,1,6.448128129750577,2.5393164690031402,2.0866187526599496,0.10522093131763756
