Segment,Start Index,End Index,Start Date,End Date,Mean,Std Dev
0,0,30,2021-06-01,2021-07-01,0.2538448737671324,0.04327504650835749
1,30,70,2021-07-01,2021-08-10,0.08864415522847743,0.029788807327532776
2,70,235,2021-08-10,2022-01-22,0.1273912915423291,0.024668467470710168
3,235,340,2022-01-22,2022-05-07,0.0775372667868051,0.010274753323598841
4,340,-1,2022-05-07,2023-06-01,0.03627086516505385,0.008223118473828572
