Date,price,market_caps,total_volumes
2018-07-03,84.74967232415305,4850706476.687907,337538659.44377804
2018-07-04,84.5304175082172,4839292095.563303,352267958.2440357
2018-07-05,84.8817314711171,4860527072.014165,399939764.2676499
2018-07-06,82.93891309349613,4750388115.399591,323449445.50983286
2018-07-07,82.88463461852108,4748491463.037868,273382900.67143816
2018-07-08,84.500297388586,4842320886.91973,274273728.208929
2018-07-09,81.9422789221309,4696965921.10999,267263563.9888691
2018-07-10,80.14588449965042,4595239099.661249,270487813.01082593
2018-07-11,75.62677421441818,4337112950.506429,328122065.34108794
2018-07-12,77.80533081002626,4463126451.951338,377707561.0954089
2018-07-13,76.16454183765156,4370078322.431736,251655979.93896165
2018-07-14,76.3665793452043,4382779814.353317,286073325.7921029
2018-07-15,75.92037921389917,4358295415.475386,238517229.92083588
2018-07-16,77.77948803826735,4466192190.398698,255679609.08305293
2018-07-17,83.58247695715157,4800735729.0862465,384656309.3096094
2018-07-18,88.61836332300527,5091313911.526261,387257702.93862575
2018-07-19,85.91424186886717,4937215012.312201,399568534.98898536
2018-07-20,85.64467236695619,4922948439.313895,319810490.9419844
2018-07-21,81.61309394835128,4692331129.492213,268694971.82966346
2018-07-22,83.0640788116837,4776857936.160176,229120827.36423782
2018-07-23,82.0161567953785,4717676537.93806,305404745.7587211
2018-07-24,81.62616683060358,4696502889.051896,383828193.0422483
2018-07-25,89.01009936891931,5122747695.530846,515632726.777372
2018-07-26,86.23869663580359,4964579115.918106,377626587.8869457
2018-07-27,83.36509885631389,4800504776.623495,271894611.06225055
2018-07-28,84.03873523998385,4840383827.873648,284200561.36891013
2018-07-29,83.52861052815953,4812186163.799256,798335941.4083817
2018-07-30,83.78014669422129,4827902756.876151,937857167.2915787
2018-07-31,82.71207012616975,4767387830.125687,301759049.521576
2018-08-01,78.74951517633932,4540042010.39408,363592537.9913163
2018-08-02,77.76038403039676,4483934508.527222,673575113.9045733
2018-08-03,76.09387855925789,4388941361.449603,293494547.3125579
2018-08-04,77.48498327675276,4470229332.996134,372486395.16590506
2018-08-05,73.0757814171322,4216907903.4731455,361309626.71960884
2018-08-06,74.4770255251732,4298883329.238296,322055699.4543784
2018-08-07,73.55085898215239,4246509008.3163996,333248961.01922023
2018-08-08,67.95803447567721,3924663616.2159333,152326342.10242417
2018-08-09,62.032497945875505,3583374365.7861137,379207630.3083619
2018-08-10,63.38488958413615,3662495044.1295466,352389825.9493673
2018-08-11,59.042901543562294,3412402623.5268226,266976030.2402897
2018-08-12,57.780590797107635,3340177995.2196884,287183205.03739524
2018-08-13,59.35194676139205,3431750839.740177,253877911.99969584
2018-08-14,56.780133830989854,3283809967.392047,274425935.21482766
2018-08-15,54.17861746304281,3134121060.41941,394734432.99891776
2018-08-16,54.28578740628325,3134248583.864048,415681789.9732301
2018-08-17,55.20215352923152,3196775374.5711427,353373818.6979031
2018-08-18,61.471765157134705,3553737118.2278,398191595.56187135
2018-08-19,57.031847928348306,3304164581.2728148,355326561.04273176
2018-08-20,57.80860252134772,3347941233.0225005,282783585.04327786
2018-08-21,53.755702649273786,3114328959.2051325,353141206.957233
2018-08-22,56.463118475841824,3272219901.133097,312302734.93149114
2018-08-23,55.326815892250785,3209834827.103345,393012512.100759
2018-08-24,57.31467691123398,3323149718.329312,309859021.2903801
2018-08-25,57.85015609491277,3353849323.456418,282690004.0031966
2018-08-26,57.8920655675577,3357241746.614606,259039455.17476818
2018-08-27,56.96336838677555,3305783335.6130133,266165600.6303557
2018-08-28,60.67650710315033,3518097085.6365786,305858621.8814782
2018-08-29,63.36461190948327,3681209246.318317,366077804.9883035
2018-08-30,61.68645768582151,3580695151.965171,425489008.28136384
2018-08-31,60.18044433095889,3494931281.348195,394265672.4113039
2018-09-01,62.05226226060779,3604908419.7739315,326662792.487012
2018-09-02,66.46681114325837,3862335675.2266507,456529324.1955539
2018-09-03,66.2084804651583,3845964543.078267,335734303.2544563
2018-09-04,65.37599692662027,3800492828.7847843,480483160.6331554
2018-09-05,67.65593730109187,3934181228.085732,551165657.9389758
2018-09-06,59.01983513695286,3436759962.061886,568766932.906168
2018-09-07,57.41658645072138,3336637146.74867,455864162.20600784
2018-09-08,55.757006366829266,3247922953.9829407,419430673.077625
2018-09-09,53.02124421259357,3085636423.189228,446317628.4410492
