market_cap,LTC_price,LTC_market_caps,BTC_price,BTC_market_caps,XRP_price,XRP_market_caps,ETH_price,ETH_market_caps,BTC_total_volumes,ETH_total_volumes,total_volume,LTC_total_volumes,volume,XRP_total_volumes,high
1147886791.443942,77.76038403039676,4483934508.527222,7612.300753683117,130813483341.75774,0.4472984557693337,17585844506.33071,417.2754067662816,42171077988.81626,11591125727.422794,5779965392.271022,2989715.1149536893,673575113.9045733,8443878.213115,338834094.11826074,2.0
1046093725.6579152,76.09387855925789,4388941361.449603,7540.633150617145,129596337579.7665,0.4311476932093057,16950866237.624617,410.9251331069581,41537743616.40968,6834800615.470859,2616667154.5040126,3179158.994591886,293494547.3125579,5624000.381457,222305399.5318636,1.964
1121301417.9909625,77.48498327675276,4470229332.996134,7411.66638248389,127395242323.66476,0.4409187818195647,17328052829.884464,417.35539322792266,42196294616.106125,5580835718.27458,2104388036.4109635,4165819.588346163,372486395.16590506,2581208.791515,287546122.7245024,1.963
1148281515.3273566,73.0757814171322,4216907903.4731455,7009.012011793916,120489906899.2898,0.430049485612228,16900890852.054571,406.8839911959127,41145986285.06191,5952900997.745494,1809713052.7134385,2817584.0511858864,361309626.7196088,6510185.287913,201577122.81443125,1.957
1126939411.8489206,74.4770255251732,4298883329.238296,7036.60933127318,120977961419.31384,0.4344736711723753,17074760789.731249,409.16493540460897,41385054072.20853,5989412029.067531,2106705188.799999,2108391.763593319,322055699.4543784,43847035.3922,207675194.61148027,1.969
1105772428.0973866,73.55085898215239,4246509008.3164,6926.116778774001,119089729729.2738,0.4133342092283022,16243982586.429096,404.8171978912986,40953537749.75725,6927841831.688437,2315454592.965536,2462618.802944884,333248961.01922023,4173962.673419,258285637.0118264,1.818
1082351601.9947474,67.95803447567721,3924663616.215933,6711.73242235858,115416628667.98372,0.380186552113498,14941283818.864971,377.7509011478514,38223074883.08225,6729676123.905343,1851482817.3237607,2947127.2468789644,152326342.10242417,7435487.842519,337672018.5289978,1.781
975077875.9676816,62.03249794587551,3583374365.7861137,6259.527709667595,107652609456.40524,0.3317368870611741,13037218058.381136,353.6461229266765,35791291191.22547,6834119514.685925,1935897432.944708,2819415.909211263,379207630.3083619,5977051.736996,387146374.9247961,1.764
1018891505.2672386,63.38488958413615,3662495044.129546,6531.249786737056,112337822894.36668,0.3462053831045791,13605828138.392862,363.6851798621928,36814735141.44988,5843796067.332067,2317855524.1517854,1814332.1720850675,352389825.9493673,6201483.980853,387949885.27212375,1.698
957847932.87324,59.04290154356229,3412402623.5268226,6166.590417501742,106079149843.79391,0.320764594563243,12606008339.247646,332.49243311549486,33664024161.54582,6731245061.318041,2027472927.1744547,2702987.9645494106,266976030.2402897,3305347.065012,308624072.8380873,1.629
939845067.809865,57.78059079710764,3340177995.2196884,6205.218479944854,106756980148.523,0.3006629699396571,11816017012.485464,317.3144774285816,32133841450.27239,5708911347.302448,2371854614.6728854,2562617.241746469,287183205.03739524,3039849.364703,308616055.5470788,1.623
927059261.9975656,59.35194676139205,3431750839.740177,6318.407221774424,108716328040.7234,0.297115001806094,11676582309.78712,317.9561130787788,32205233601.695885,5507023282.246057,2055561310.2074304,2612457.9036883544,253877911.99969584,4353188.790139,272765373.01604617,1.419
823576390.3452507,56.780133830989854,3283809967.392047,6283.99625058153,108135868387.49329,0.2791726475002303,10991696997.63905,284.9586646577589,28868747042.36861,5381627198.227136,2305624514.721104,3087767.636962339,274425935.21482766,4927496.919443,269511987.4784459,1.543
796183078.7648686,54.17861746304281,3134121060.41941,6212.226040055612,106911788926.75308,0.2739365573815652,10785539565.841751,277.7460166184284,28143782821.250084,7179484727.419351,3134794913.6870646,3435768.64655224,394734432.99891776,4263133.577787,296755785.8454655,1.57
908709958.2157562,54.28578740628325,3134248583.864048,6267.76870877378,107788817699.53123,0.2816796138691155,11060106468.746157,281.1411931356025,28457713331.487896,6619548180.387301,2818580241.5689964,1700086.26551623,415681789.9732301,4312493.826507,340842439.975679,1.541
838289104.7328513,55.20215352923152,3196775374.5711427,6309.385226218996,108578823549.00037,0.2923569103181396,11503979081.78164,286.3202214369417,29013771356.624912,5982589406.965,2409323174.6488853,2147404.509899419,353373818.6979031,3174252.260788,244969420.5843744,1.675
900113434.4016691,61.47176515713471,3553737118.2278,6566.715163377382,113018605465.47176,0.3659425085627602,14392224772.330652,314.79325272659554,31900584937.30893,6206194158.951437,2930409554.8592534,2124219.5678563127,398191595.56187135,4870890.614468,525847021.4745813,1.531
843638488.2421296,57.03184792834831,3304164581.2728148,6382.0605914076095,109889851531.17278,0.3263642805398596,12848349081.28397,293.17699177790365,29731648689.35023,5616965845.869809,2806352498.6709337,2091740.3618925228,355326561.04273176,5090013.931078,444762175.5159049,1.554
853010867.9514424,57.80860252134772,3347941233.0225005,6475.494019667379,111490970656.3322,0.3437034751291751,13533274221.317991,299.4351225630472,30373462667.10025,5160365103.111909,2503896967.514467,1623730.9896443223,282783585.04327786,16729285.301798,341168051.0647279,1.525
905115578.0005636,53.755702649273786,3114328959.2051325,6242.882438400799,107511643840.85838,0.3184913962377795,12539770479.47644,271.06155217806,27502092651.06376,5578292470.702208,2209797060.591189,5756573.5577209005,353141206.957233,7261811.833776,302218417.5452294,1.498
834764128.7656387,56.463118475841824,3272219901.133097,6467.271730309675,111399689881.15749,0.3346330424676114,13187602526.11972,280.3747171450871,28451639052.689304,5658517103.312642,2099627671.6781328,4800098.427082106,312302734.93149114,4002468.88664,253887820.8082218,1.409
