delegated,minted,activated,active_staking,staking,liquid,circulating,active_delegated,delegated,total,frozen,inactive_staking,inactive_delegated
347117408.495219,7076627.857451,510156551.615246,418266023.388583,421107523.020605,492418771.98103,517204439.883586,346640179.159839,347117408.495219,771366486.28104,24785667.902556,2841499.632022,477229.33538
348057196.595147,7186883.857451,510723928.898025,419140466.614676,421981866.246698,491376026.721541,517882061.566365,347580067.259767,348057196.595147,771476730.68104,26506034.844824,2841399.632022,477129.33538
349597669.387015,7297613.607451,512092746.369197,421209352.983336,424049952.484667,495274919.011176,519361576.559537,349110534.4462,349597669.387015,771587428.20304,24086657.548361,2840599.501331,487134.940815
350151900.467511,7405957.940763,513882685.32737,421918499.379073,424753846.400403,495422526.566434,521259849.571022,349668480.706697,350151900.467511,771695762.256352,25837323.004588,2835347.02133,483419.760814
350752048.636659,7515766.940743,514367129.786343,422316540.902606,425098732.645157,494246579.11859,521854093.263975,350268628.875845,350752048.636659,771805561.490332,27607514.145385,2782191.742551,483419.760814
352429513.952155,7615456.774015,514600790.833791,424410572.384469,427213603.700875,497266603.568288,522187397.027695,351946086.351983,352429513.952155,771905204.206604,24920793.459407,2803031.316406,483427.600172
352837657.513291,7718660.107267,515979549.054947,424938602.596401,427424385.374333,497016286.030855,523669334.424103,352368262.134119,352837657.513291,772008383.381856,26653048.393248,2485782.777932,469395.379172
354241748.079131,7827494.107247,516268190.909741,426350362.552475,428792830.044407,495602850.498931,524066788.141877,353792452.439959,354241748.079131,772117195.244836,28463937.642946,2442467.491932,449295.639172
355009493.47835,7937342.857247,522188279.14705,427579464.720604,430059992.102315,504319017.635575,530096709.251186,354560063.628538,355009493.47835,772227028.116836,25777691.615611,2480527.381711,449429.849812
355113471.017565,8047798.857247,522469066.789789,427771151.697469,430221675.123714,502818720.961946,530487936.667925,354664042.167753,355113471.017565,772337467.890836,27669215.705979,2450523.426245,449428.849812
355403636.46714,8158538.857247,523995423.288965,428159443.778681,430609356.264926,502562601.016671,532125023.144101,354954217.717328,355403636.46714,772448197.867836,29562422.12743,2449912.486245,449418.749812
356955334.216139,8268563.732247,524702184.073047,429403874.425326,432464698.113721,506157942.494165,532941315.495183,355901755.679745,356955334.216139,772557729.434836,26783373.001018,3060823.688395,1053578.536394
357887716.832398,8378956.732247,525445873.513907,430210222.077691,433263683.693709,505067078.297504,533795380.974043,356834230.268211,357887716.832398,772668105.472836,28728302.676539,3053461.616018,1053486.564187
358560381.925596,8489528.732247,526075151.731267,430875247.14565,433972614.332291,503861971.086125,534535217.313403,357462989.788686,358560381.925596,772778663.594836,30673246.227278,3097367.186641,1097392.13691
358944831.929475,8599122.815559,528283857.673686,431932818.081655,435080949.422671,509023800.150329,536853485.148134,357847433.313944,358944831.929475,772888225.487148,27829684.997805,3148131.341016,1097398.615531
361425197.936386,8709398.815559,529112301.110535,432421495.670597,438006085.491903,507968185.784963,537792189.164983,357885467.704459,361425197.936386,772998486.067148,29824003.38002,5584589.821306,3539730.231927
362306465.472067,8818123.815559,543515866.081063,433453127.348346,439027617.363652,520507669.113281,552304448.518511,358776735.24014,362306465.472067,773107180.450148,31796779.40523,5574490.015306,3529730.231927
362678109.363634,8928103.482205,544323541.177676,434225169.198767,439883392.946073,524384390.697938,553222062.49377,359092445.310723,362678109.363634,773217119.328794,28837671.795832,5658223.747306,3585664.052911
363259556.230097,9038060.148851,544663728.446765,434885945.304174,440462897.600852,522786366.887165,553672192.808505,359728986.557186,363259556.230097,773327062.37444,30885825.92134,5576952.296678,3530569.672911
363791357.180023,9147290.815475,545901256.032449,435694236.317347,441206643.251196,522096704.260243,555018936.668813,360261549.507137,363791357.180023,773436278.649064,32922232.40857,5512406.933849,3529807.672886
364961545.955454,9256623.815475,549110135.019008,436897041.805494,442644831.089477,528469447.539182,558337109.827372,361361357.770468,364961545.955454,773545572.821064,29867662.28819,5747789.283983,3600188.184986
365499092.489305,9363235.148787,551092841.12468,437597216.376402,443398642.356352,528508447.858494,560426403.327356,361844267.608352,365499092.489305,773652160.215376,31917955.468862,5801425.97995,3654824.880953
366113568.507719,9464112.815433,551476697.178719,441323410.691354,443938377.548891,527035545.417629,560911118.030041,365617597.259178,366113568.507719,773753018.864022,33875572.612412,2614966.857537,495971.248541
367228425.628326,9568166.357025,552374749.627293,442620296.702799,445353167.649038,531242309.925928,561913205.415207,366741824.172449,367228425.628326,773857053.800614,30670895.489279,2732870.946239,486601.455877
366931528.215723,9677419.357025,553171013.535481,442894308.718364,445581063.933601,530000743.124778,562818707.125395,366450253.539846,366931528.215723,773966291.602614,32817964.000617,2686755.215237,481274.675877
369816197.545802,9786862.690337,553411737.301794,446214348.307558,448871147.130129,528202121.185731,563168858.80502,369334922.869925,369816197.545802,774075719.515926,34966737.619289,2656798.822571,481274.675877
370793161.45082,9897503.565337,554034359.202688,447647348.929064,450285947.415008,532209936.087655,563902089.903914,370314919.389173,370793161.45082,774186328.713926,31692153.816259,2638598.485944,478242.061647
371460337.271413,10009845.565337,554937016.131589,448587539.867253,451217314.750874,530969141.963785,564917069.230815,370984747.179766,371460337.271413,774298651.111926,33947927.26703,2629774.883621,475590.091647
372307930.863289,10121760.065337,555717792.46949,449983805.181222,452621680.236145,535262255.116247,565809724.757716,371833481.771642,372307930.863289,774410530.300926,30547469.641469,2637875.054923,474449.091647
372473990.240245,10229833.981955,555931060.281917,450324383.7669,452962258.808301,533349806.179031,566131049.493761,371999541.148598,372473990.240245,774518587.224544,32781243.31473,2637875.041401,474449.091647
371954060.370309,10341892.981955,556311552.007019,450573607.498496,453195211.807047,531535906.11882,566623587.330863,371482616.819602,371954060.370309,774630633.336544,35087681.212043,2621604.308551,471443.550707
372174974.080162,10450859.981913,556631073.755046,451076551.216688,453710715.19106,535486575.870504,567052032.735848,371693517.720934,372174974.080162,774739556.993502,31565456.865344,2634163.974372,481456.359228
372607345.570992,10561843.981913,557207830.484466,451558269.722982,454166497.75084,533831037.799987,567739759.809268,372140599.211764,372607345.570992,774850527.337502,33908722.009281,2608228.027858,466746.359228
372962476.802569,10672542.981895,559048720.579117,448853774.263793,451438449.199527,533445189.128474,569691331.394901,372497185.535341,372962476.802569,774961208.828484,36246142.266427,2584674.935734,465291.267228
373245832.701534,10781505.523541,559663269.824308,449451451.203888,452046272.033332,537799211.742661,570414827.678738,372775721.234306,373245832.701534,775070155.86713,32615615.936077,2594820.829444,470111.467228
373778875.370712,10891928.523499,559888275.120367,450022394.897668,452603508.397791,535747883.182892,570750243.859755,373308164.160494,373778875.370712,775180566.752088,35002360.676863,2581113.500123,470711.210218
373690362.931737,11002304.523499,560128628.900198,453472129.241185,455935800.260214,533709978.293815,571100963.102586,373219651.722319,373690362.931737,775290932.215088,37390984.808771,2463671.019029,470711.209418
373282284.981758,11111795.398435,560362104.123954,454004132.584284,456583706.722712,537708702.447943,571443900.864278,372804660.60234,373282284.981758,775400394.753024,33735198.416335,2579574.138428,477624.379418
373483128.784847,11222808.398435,560472890.284629,454241922.688607,456731943.285857,535475079.78708,571665690.001953,373013739.555429,373483128.784847,775511397.730024,36190610.214873,2490020.59725,469389.229418
373776861.693635,11331809.065081,560794588.044534,454617172.942527,457086835.206883,533486598.816994,572096378.593504,373307472.464217,373776861.693635,775620388.56167,38609779.77651,2469662.264356,469389.229418
372980587.622298,11441364.065081,561331628.82757,454500759.810364,456999504.854316,537934450.4574,572742947.76954,372511398.39288,372980587.622298,775729916.95467,34808497.31214,2498745.043952,469189.229418
373387828.687172,11552453.065081,561659878.439584,454984333.990089,457431644.505468,535861474.402457,573182267.645554,372926731.527754,373387828.687172,775840987.21867,37320793.243097,2447310.515379,461097.159418
374045836.083754,11663779.398393,562493039.958556,455762832.499653,458200435.150126,534291430.894405,574126736.222838,373590738.664336,374045836.083754,775952294.276982,39835305.328433,2437602.650473,455097.419418
374639458.635955,11769605.731643,563221300.846014,456808600.663725,459234458.359917,539167919.874804,574960801.528546,374184343.11829,374639458.635955,776058098.695232,35792881.653742,2425857.696192,455115.517665
374770867.7549,11879731.731643,563606043.290184,457016568.514531,459437181.484723,537112495.004406,575455655.580716,374315752.237235,374770867.7549,776168210.303232,38343160.57631,2420612.970192,455115.517665
375143827.126304,11986339.064935,563792327.986633,457364423.079905,459773076.731189,534927034.122779,575748534.947457,374699380.808644,375143827.126304,776274804.973524,40821500.824678,2408653.651284,444446.31766
375288104.046006,12089958.398167,564017364.139463,458068504.247199,460530996.469165,539426310.069967,576072820.606518,374843657.728346,375288104.046006,776374054.479755,36646510.536551,2462492.221966,444446.31766
374825166.71273,12195449.731479,564185845.662034,457641410.24846,460101335.530425,537185972.918552,576339509.814401,374380721.39507,374825166.71273,776472262.165067,39153536.895849,2459925.281965,444445.31766
375236317.180883,12302910.898125,564964681.625002,458127872.413188,460566375.583979,535523409.367996,577224305.805015,374791885.743223,375236317.180883,776578222.192713,41700896.437019,2438503.170791,444431.43766
372391495.275905,12406660.981375,565953424.257105,459490938.736112,461627906.838124,540866658.676067,578316783.305368,371980248.967449,372391495.275905,776681957.060963,37450124.629301,2136968.102012,411246.308456
373252251.110097,12505327.314629,569561791.124224,460438639.734445,462549330.07513,542147692.098511,582023808.468741,372848009.951641,373252251.110097,776780615.357217,39876116.37023,2110690.340685,404241.158456
373483102.429233,12605977.314571,569693812.279597,460742128.113727,462852168.445434,539916362.099342,582256471.621056,373079511.279755,373483102.429233,776881257.354159,42340109.521714,2110040.331707,403591.149478
376081302.222858,12712245.931223,569948713.345955,463891717.906482,465992121.387771,544597649.072027,582617600.566016,375667531.471665,376081302.222858,776987485.232761,38019951.493989,2100403.481289,413770.751193
376059409.429417,12821854.764499,570241081.64457,464514114.60718,466614506.07947,542296781.753099,583019568.188907,375645638.678224,376059409.429417,777097084.557037,40722786.435808,2100391.47229,413770.751193
375067524.82131,12929321.097819,570481186.636903,464201031.632947,465793720.37083,539984069.58578,583354492.151992,374653753.43028,375067524.82131,777191903.527789,43370422.566212,1592688.737883,413771.39103
374635229.214403,13033657.306127,573605715.701547,464125446.997522,465700008.006605,547672354.207737,586583316.573944,374221457.440179,374635229.214403,777296198.885097,38910962.366207,1574561.009083,413771.774224
373169208.133939,13126389.639285,573783744.354856,464227969.83189,465795377.453205,545539987.996098,586854068.786411,372758438.429715,373169208.133939,777388922.444255,41314080.790313,1567407.621315,410769.704224
372617077.202545,13227091.972401,573919903.130973,464290187.780584,465857595.401899,543196887.418594,587090922.921644,372206307.498321,372617077.202545,777489617.803371,43894035.50305,1567407.621315,410769.704224
372685040.363711,13296587.194135,575042505.446443,464693904.89087,466258313.864679,549754314.738213,588275505.405676,372287448.874877,372685040.363711,777551597.971933,38521190.667463,1564408.973809,397591.488834
372616571.251039,13383820.360387,575161400.292293,463261121.300068,464825488.267605,547593528.45972,588481629.785778,372218979.762205,372616571.251039,777638827.506185,40888101.326058,1564366.967537,397591.488834
372499739.825183,13455226.351262,575808260.281722,463239258.324198,464801917.28819,546330161.25744,589199886.993082,372103648.336349,372499739.825183,777710224.72406,42869725.735642,1562658.963992,396091.488834
372255265.534384,13516587.149425,576774661.596064,464142758.022517,465705416.986509,545650344.569196,590227637.878587,371859174.04555,372255265.534384,777771574.295223,44577293.309391,1562658.963992,396091.488834
374581165.844579,13592304.00734,576911836.914544,466880949.539845,468251092.16915,551128947.539405,590440429.237882,374193345.055745,374581165.844579,777847190.336038,39311481.698477,1370142.629305,387820.788834
373999407.871588,13690063.882238,578520587.109794,466757821.896182,468069968.421905,550217407.821657,592146910.23203,373611588.082754,373999407.871588,777944921.134936,41929502.410373,1312146.525723,387819.788834
373451002.359241,13797570.59053,578806677.833331,466478915.378643,467791060.861365,547783197.497667,592540461.403859,373063182.570407,373451002.359241,778052381.583228,44757263.906192,1312145.482722,387819.788834
372745063.349817,13902247.423802,578950354.19507,466169817.539964,467482887.506885,552731506.142227,592788575.43777,372357243.560983,372745063.349817,778156819.2554,40057069.295543,1313069.966921,387819.788834
372599621.606871,13970647.823028,579018298.254396,466302842.551418,467615081.560361,550901667.334162,592924902.420322,372211801.818037,372599621.606871,778225202.178626,42023235.08616,1312239.008943,387819.788834
373033813.888656,14061037.822794,579154603.376473,466771141.697045,468083380.705988,548633812.955102,593151580.323165,372645994.099822,373033813.888656,778315574.959392,44517767.368063,1312239.008943,387819.788834
373200546.27547,14153252.822518,579494992.55995,467198290.647702,468489267.798367,546531278.093511,593584156.236366,372812726.486636,373200546.27547,778407761.689116,47052878.142855,1290977.150665,387819.788834
372647789.806041,14259000.030794,585465113.026039,466926195.233913,468230075.599885,557247951.881934,599659921.717231,372260067.713208,372647789.806041,778513406.703892,42411969.835297,1303880.365972,387722.092833
376701491.341428,14364206.364106,586199897.391088,471318340.831167,472621914.724129,555199189.810137,600499884.659592,376313769.248595,376701491.341428,778618585.281204,45300694.849455,1303573.892962,387722.092833
376064052.341503,14460916.197344,586617814.291235,471047860.294207,472311397.797754,553025668.208324,601014452.959977,375687329.99857,376064052.341503,778715236.681442,47988784.751653,1263537.503547,376722.342933
376871416.317572,14567816.447344,586733442.359899,472187601.965972,473525971.57768,558110683.535041,601236940.342686,376494692.60932,376871416.317572,778822095.995487,43126256.807645,1338369.611708,376723.708252
376991367.758478,14672937.11397,586786516.374644,472421305.678822,473759675.29053,555327111.717667,601395120.118057,376614644.050226,376991367.758478,778927201.756113,46068008.40039,1338369.611708,376723.708252
375221812.2553,14776217.780556,586866239.082867,469873810.66176,471207181.013628,552613285.618151,601578104.988866,374850087.806888,375221812.2553,779030463.918699,48964819.370715,1333370.351868,371724.448412
375727089.754137,14881606.780514,587019833.515754,470504221.504988,471971270.300571,557699411.710109,601837034.319711,375297181.34689,375727089.754137,779135798.816657,44137622.609602,1467048.795583,429908.407247
375961723.290871,14990531.113806,587094210.555372,470998087.695854,472465143.29336,554806887.564689,602020314.104621,375531808.081701,375961723.290871,779244701.561949,47213426.539932,1467055.597506,429915.20917
376529382.476412,15087448.447006,587593151.709812,471578434.65389,473045490.241596,552611451.861795,602616144.450261,376099467.267242,376529382.476412,779341590.753149,50004692.588466,1467055.587706,429915.20917
374111828.435314,15184757.655242,588414425.866787,469327458.015241,471077928.150528,558433563.312612,603534706.227472,373423599.992348,374111828.435314,779438878.373385,45101142.91486,1750470.135287,688228.442966
374195138.933324,15290123.780242,588541757.629187,469542281.542581,471292750.438138,555621560.134677,603767388.180872,373506910.490358,374195138.933324,779544228.564385,48145828.046195,1750468.895557,688228.442966
374722406.947617,15388721.613474,588876308.134517,470260461.578932,471999905.965212,553175128.146923,604200521.356434,374041378.504651,374722406.947617,779642811.234617,51025393.209511,1739444.38628,681028.442966
376876519.540715,15491161.896766,589040206.698587,470693744.21547,474513112.127373,558649575.00337,604466839.900796,375162754.423925,376876519.540715,779745231.214909,45817264.897426,3819367.911903,1713765.11679
377546035.156938,15597626.563412,589101492.864489,471714830.729073,475534198.321256,555688679.131736,604634563.748344,375832270.040148,377546035.156938,779851668.896555,48945884.616608,3819367.592183,1713765.11679
379037689.013747,15702175.56337,590779450.129364,473457350.607615,477155464.669378,554389375.753753,606417052.023177,377444033.160377,379037689.013747,779956199.906513,52027676.269424,3698114.061763,1593655.85337
378921829.238914,15808304.230016,591090880.674127,473599857.121743,477379877.128992,559686617.580887,606834545.053586,377295051.654752,378921829.238914,780062262.392159,47147927.472699,3780020.007249,1626777.584162
379269071.945713,15916264.89663,591366951.041268,475223463.075236,478999469.371345,556853298.579671,607218539.079341,377646308.072691,379269071.945713,780170186.050773,50365240.49967,3776006.296109,1622763.873022
379312629.160539,16019249.563194,591481898.271892,475384238.794932,479155234.831361,553971897.607219,607436445.790529,377694875.547197,379312629.160539,780273145.531337,53464548.18331,3770996.036429,1617753.613342
380273584.878972,16124214.896464,592143466.878235,475940048.146239,480415447.030181,560145398.972765,608202962.254142,378484322.410648,380273584.878972,780378093.388607,48057563.281377,4475398.883942,1789262.468324
380128263.292581,16232044.896424,592263891.350944,476022176.648427,480449387.664454,557101730.96476,608431201.271811,378387188.084097,380128263.292581,780485907.933567,51329470.307051,4427211.016027,1741075.208484
380087821.546874,16339205.229736,592420690.951884,476268807.28143,480695408.403653,554113626.051144,608695134.735063,378346746.62671,380087821.546874,780593041.795879,54581508.683919,4426601.122223,1741074.920164
380369374.811685,16446375.229736,592486852.268946,476285887.209256,481166865.711813,559826467.818803,608868449.604125,378628299.752344,380369374.811685,780700195.347879,49041981.785322,4880978.502557,1741075.059341
380400685.221749,16554610.229736,593038417.645074,476354020.964527,481235642.262228,557147879.009281,609528230.962253,378659610.162408,380400685.221749,780808411.329879,52380351.952972,4881621.297701,1741075.059341
380266889.392559,16659876.229736,593406565.41411,476560178.776361,481420276.851891,554361505.280363,610001620.316289,378543884.430106,380266889.392559,780913652.914879,55640115.035926,4860098.07553,1723004.962453
380322550.293459,16764916.562984,593736949.506568,477012754.848362,482100969.574535,560380957.752935,610437006.988995,378568420.932957,380322550.293459,781018655.495127,50056049.23606,5088214.726173,1754129.360502
380410814.613178,16873816.22963,593799691.314285,477378270.754885,482376960.740132,557148173.822247,610608627.389358,378656685.527676,380410814.613178,781127534.087773,53460453.567111,4998689.985247,1754129.085502
380444399.875135,16982271.562942,594014489.472905,478012469.607075,482391459.38717,554076144.52571,610931857.23729,379190329.539107,380444399.875135,781235965.777085,56855712.71158,4378989.780095,1254070.336028
380276782.445923,17093117.562942,594128541.110005,478045201.487079,482550948.734773,559755189.93251,611156736.62739,379002347.950248,380276782.445923,781346793.530085,51401546.69488,4505747.247694,1274434.495675
380401366.637863,17203633.562942,594305135.090061,478383774.302449,482825978.374143,556538218.788398,611443837.098446,379190475.312188,380401366.637863,781457300.021085,54905618.310048,4442204.071694,1210891.325675
