EMA_3,SMA_3,EMA_7,SMA_7,EMA_30,SMA_30,ATR_14,ATR_7,STD_30,high_low,true_range,STD_7,high_low_pct,RSI_14,STD_3,RSI_7
1.868250109048211,1.8693333333333333,1.976533659316184,2.0224285714285712,2.116130619306889,2.1541333333333337,0.2010714285714285,0.2071428571428571,0.1897204355839425,0.306,0.306,0.1527425471644556,1.180637544273908,20.61155152887882,0.0912816155276323,13.12910284463895
1.8646250545232608,1.843333333333333,1.9476473427865728,1.9834285714285715,2.0974610716156623,2.141,0.2089285714285714,0.2285714285714286,0.1960295544220221,0.3309999999999999,0.3309999999999999,0.1543511765886027,1.2026944274341702,34.11330049261082,0.0701878432019003,23.800383877159348
1.8813125272635736,1.8416666666666663,1.935234571920222,1.9477142857142853,2.0829905417691763,2.1396,0.2084285714285714,0.2377142857142857,0.1976577676274025,0.1780000000000001,0.1780000000000001,0.1379803298610775,1.0997198879551822,31.410256410256395,0.0680906258844383,27.02205882352941
1.8686562636310504,1.8716666666666664,1.91542480959966,1.9091428571428573,2.066654015222744,2.1368,0.2032857142857143,0.2425714285714286,0.2011469526284803,0.1340000000000001,0.1340000000000001,0.1157892173613037,1.0735052111903456,24.96749024707411,0.0229419557434513,26.063829787234056
1.8573281318151955,1.8666666666666665,1.8980678716410568,1.867,2.050891025463544,2.132033333333333,0.2067857142857142,0.2342857142857143,0.2063960844545286,0.159,0.159,0.0551361950083649,1.0878453038674034,26.193724420191003,0.0275922694487874,23.613595706618952
1.8356640659072825,1.838666666666667,1.8770502357109744,1.8491428571428568,2.03408442902182,2.106933333333333,0.1954285714285714,0.2104285714285714,0.1972596631667094,0.121,0.149,0.0476669996658415,1.071302298173247,26.92847124824685,0.0219393102292335,33.933161953727506
1.7253320329528383,1.7583333333333335,1.8115361150686624,1.808,2.00454181354499,2.082966666666666,0.1991428571428571,0.2145714285714286,0.2118585219747681,0.2119999999999999,0.2450000000000001,0.0946097246587292,1.1351179094964945,21.16868798235943,0.1251572344426589,23.91304347826086
1.6996660164763258,1.7009999999999998,1.7771514715599932,1.794857142857143,1.981379297836077,2.0578333333333334,0.1997142857142857,0.1922857142857143,0.2142261266356961,0.1499999999999999,0.1499999999999999,0.1069959945845798,1.0929368029739777,26.96025778732545,0.1022105669683985,40.295358649789016
1.6483330082380696,1.6286666666666665,1.7321129997590252,1.7571428571428571,1.954593038297228,2.036633333333333,0.2021428571428571,0.1757142857142857,0.2273606406560735,0.2149999999999998,0.2149999999999998,0.1248364644530736,1.1449763991908293,22.517911975435013,0.0402781992315317,21.05263157894736
1.594666504118986,1.604,1.6843342693283971,1.7061428571428574,1.9259192293657352,2.0260333333333334,0.2052857142857143,0.1728571428571428,0.2428154518933275,0.1579999999999999,0.1579999999999999,0.1304957580044026,1.1074099252209382,20.215897939156022,0.0667757440991989,12.421052631578933
1.5513332520594731,1.5486666666666664,1.640250369496178,1.6564285714285714,1.897084258096112,2.008,0.2067142857142857,0.1708571428571428,0.260496607959913,0.1200000000000001,0.1200000000000001,0.130177900253025,1.0798403193612776,20.0,0.0449925919828494,12.660944206008566
1.451666626029714,1.467,1.5681873694740542,1.5858571428571426,1.8596430936903527,1.9866666666666668,0.2095,0.1847142857142857,0.2867368532095335,0.167,0.256,0.143500788117965,1.1333865814696489,16.31084543125533,0.1009504829111879,9.640522875816998
1.398333313014851,1.4016666666666666,1.512390290379633,1.518857142857143,1.8244397858487704,1.9570666666666667,0.2057142857142857,0.2009999999999999,0.3056419962718757,0.2629999999999999,0.2629999999999999,0.1278637667877177,1.20546875,19.569672131147527,0.0921538568554544,10.0511073253833
1.4031666565074257,1.3683333333333332,1.486292634742861,1.489285714285714,1.7960642144210164,1.9244,0.2066428571428571,0.1987142857142856,0.3103308134766885,0.2290000000000001,0.2290000000000001,0.1258434401491491,1.1707680835197614,25.324027916251225,0.0345301800362478,27.05099778270508
1.4315833282537136,1.404333333333333,1.479719460370431,1.4587142857142854,1.773247960098244,1.8903666666666663,0.1969285714285714,0.2015714285714285,0.3030856807654516,0.1699999999999999,0.1699999999999999,0.0959300340277879,1.12399708242159,33.33333333333333,0.0575876144091382,25.900900900900908
