name,contract_address,tokenId,supply,creators,transfersCount,accountName,accountAddress
Ode to the Donuts - Zoe Tamago,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,138270,10000,['tz1WHVgT8buqsPbNLvt4e91b3FxM33VjLqVC'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Deterioration #5,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,138493,10000,['tz1KhiFKMdKeLdBmuV6qmzpP4Jp8v7u6cDft'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
violet angel,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,138488,10000,['tz1RZL9gLM6hakP4smG8CB64qiyD84FZMHbR'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
The Defecators,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,138514,10000,['tz1Z9rz6XrhY4ZzkLqEwe8Mcef7y9QFDEMJp'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
petStar.000044 - beachoMode,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139391,10000,['tz1Zap44HJtRZQY6aczqSaQb5FGdLVX7YsAK'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
John Karel 004,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139469,10000,['tz1aWL8AMR6CH4NMdUuiLekQbQ5TPYMzvtuQ'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Wild Swimming,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139062,10000,['tz1biKU3xnysM6WXAYN9Qsp9siv8Ttz5f7UY'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
N0189,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139537,10000,['tz1fEivXU93hFAthx3oT5xEqWFeh3TwZZmdz'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Cyclic Cellular Automata 10.000,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139524,10000,['tz1ft8ZPvFdcsMa2LyyA4h53Mm61bRHXBMfc'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
DATA_HEALER,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,138278,10000,['tz1R5aLedcRQb9kYyNBS1UXzHR6aQQ3Z5qoq'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
