name,contract_address,tokenId,supply,creators,transfersCount,accountName,accountAddress
"Collection: Human and (not vs) Machine, the pre dialogue. Name: no name IX.",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,9100,3,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],7,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
GenerativO Sov I,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,10310,10,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],7,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
GenerativO Sov II ,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,10313,10,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],4,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
GenerativO Sov III,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,10314,10,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],7,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Meta-Matter,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,10431,10,['tz2HwP1JKEjEy4H8RxPMkoHWuSzUWZsRSC3R'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative Priroda. Name: number I,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,11400,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative Priroda. Name: number I,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,11402,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative Priroda. Name: number II,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,11412,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative Priroda. Name: number VI,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,11556,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative Priroda. Name: number IV,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,11922,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
realTEN_GOP,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,4952,100,['tz1Mh7WrKQP4PTio9NJUZL4iPW8f9tzBSv1U'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative Priroda. Name: number III,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,12657,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Meta-Matter,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,12745,20,['tz2HwP1JKEjEy4H8RxPMkoHWuSzUWZsRSC3R'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
